Neighborhood	Day	Count
Western Addition	Saturday	3
West of Twin Peaks	Saturday	3
Visitacion Valley	Saturday	2
Twin Peaks	Saturday	1
Treasure Island	Saturday	1
Tenderloin	Saturday	4
Sunset/Parkside	Saturday	8
South of Market	Saturday	8
Russian Hill	Saturday	1
Potrero Hill	Saturday	3
Portola	Saturday	1
Pacific Heights	Saturday	7
Outer Richmond	Saturday	6
Outer Mission	Saturday	3
Oceanview/Merced/Ingleside	Saturday	1
North Beach	Saturday	1
Noe Valley	Saturday	1
Nob Hill	Saturday	10
Mission	Saturday	22
Marina	Saturday	3
Lone Mountain/USF	Saturday	4
Japantown	Saturday	2
Inner Sunset	Saturday	4
Inner Richmond	Saturday	1
Hayes Valley	Saturday	17
Haight Ashbury	Saturday	2
Golden Gate Park	Saturday	1
Financial District/South Beach	Saturday	5
Excelsior	Saturday	4
Chinatown	Saturday	1
Castro/Upper Market	Saturday	3
Bernal Heights	Saturday	7
Bayview Hunters Point	Saturday	9
Western Addition	Friday	7
West of Twin Peaks	Friday	1
Visitacion Valley	Friday	2
Twin Peaks	Friday	1
Tenderloin	Friday	8
Sunset/Parkside	Friday	8
South of Market	Friday	4
Presidio Heights	Friday	2
Potrero Hill	Friday	7
Portola	Friday	2
Pacific Heights	Friday	4
Outer Richmond	Friday	3
Outer Mission	Friday	1
Oceanview/Merced/Ingleside	Friday	2
North Beach	Friday	1
Noe Valley	Friday	3
Nob Hill	Friday	7
Mission Bay	Friday	3
Mission	Friday	13
Marina	Friday	9
Inner Sunset	Friday	3
Inner Richmond	Friday	3
Hayes Valley	Friday	8
Haight Ashbury	Friday	6
Golden Gate Park	Friday	3
Glen Park	Friday	2
Financial District/South Beach	Friday	2
Excelsior	Friday	4
Chinatown	Friday	2
Castro/Upper Market	Friday	4
Bernal Heights	Friday	4
Bayview Hunters Point	Friday	13
Western Addition	Thursday	11
West of Twin Peaks	Thursday	5
Visitacion Valley	Thursday	2
Twin Peaks	Thursday	4
Tenderloin	Thursday	4
Sunset/Parkside	Thursday	10
South of Market	Thursday	7
Russian Hill	Thursday	3
Presidio Heights	Thursday	1
Potrero Hill	Thursday	4
Portola	Thursday	2
Pacific Heights	Thursday	8
Outer Richmond	Thursday	4
Outer Mission	Thursday	3
Oceanview/Merced/Ingleside	Thursday	1
North Beach	Thursday	3
Noe Valley	Thursday	2
Nob Hill	Thursday	7
Mission Bay	Thursday	2
Mission	Thursday	16
McLaren Park	Thursday	3
Marina	Thursday	5
Lone Mountain/USF	Thursday	3
Lakeshore	Thursday	5
Japantown	Thursday	1
Inner Sunset	Thursday	2
Inner Richmond	Thursday	1
Hayes Valley	Thursday	8
Glen Park	Thursday	4
Financial District/South Beach	Thursday	6
Excelsior	Thursday	2
Chinatown	Thursday	1
Castro/Upper Market	Thursday	4
Bernal Heights	Thursday	3
Bayview Hunters Point	Thursday	11
Western Addition	Wednesday	7
West of Twin Peaks	Wednesday	4
Twin Peaks	Wednesday	6
Tenderloin	Wednesday	10
Sunset/Parkside	Wednesday	7
South of Market	Wednesday	8
Russian Hill	Wednesday	2
Presidio Heights	Wednesday	3
Potrero Hill	Wednesday	7
Portola	Wednesday	5
Pacific Heights	Wednesday	3
Outer Richmond	Wednesday	3
Outer Mission	Wednesday	3
Oceanview/Merced/Ingleside	Wednesday	1
North Beach	Wednesday	2
Noe Valley	Wednesday	6
Nob Hill	Wednesday	1
Mission Bay	Wednesday	1
Mission	Wednesday	17
McLaren Park	Wednesday	1
Marina	Wednesday	5
Lone Mountain/USF	Wednesday	4
Lakeshore	Wednesday	3
Inner Sunset	Wednesday	2
Inner Richmond	Wednesday	5
Hayes Valley	Wednesday	8
Haight Ashbury	Wednesday	4
Glen Park	Wednesday	2
Financial District/South Beach	Wednesday	7
Excelsior	Wednesday	1
Chinatown	Wednesday	1
Castro/Upper Market	Wednesday	8
Bernal Heights	Wednesday	5
Bayview Hunters Point	Wednesday	6
Western Addition	Tuesday	4
West of Twin Peaks	Tuesday	9
Visitacion Valley	Tuesday	3
Twin Peaks	Tuesday	1
Tenderloin	Tuesday	9
Sunset/Parkside	Tuesday	4
South of Market	Tuesday	4
Russian Hill	Tuesday	2
Presidio Heights	Tuesday	3
Potrero Hill	Tuesday	10
Portola	Tuesday	1
Pacific Heights	Tuesday	2
Outer Richmond	Tuesday	1
Outer Mission	Tuesday	4
Oceanview/Merced/Ingleside	Tuesday	3
North Beach	Tuesday	2
Noe Valley	Tuesday	3
Nob Hill	Tuesday	4
Mission	Tuesday	19
Marina	Tuesday	6
Lone Mountain/USF	Tuesday	2
Lakeshore	Tuesday	3
Japantown	Tuesday	2
Inner Sunset	Tuesday	4
Inner Richmond	Tuesday	2
Hayes Valley	Tuesday	10
Haight Ashbury	Tuesday	1
Golden Gate Park	Tuesday	3
Glen Park	Tuesday	2
Financial District/South Beach	Tuesday	4
Excelsior	Tuesday	5
Chinatown	Tuesday	1
Castro/Upper Market	Tuesday	5
Bernal Heights	Tuesday	3
Bayview Hunters Point	Tuesday	17
Western Addition	Monday	6
West of Twin Peaks	Monday	3
Visitacion Valley	Monday	2
Twin Peaks	Monday	1
Tenderloin	Monday	7
Sunset/Parkside	Monday	8
South of Market	Monday	9
Russian Hill	Monday	3
Potrero Hill	Monday	7
Portola	Monday	5
Pacific Heights	Monday	10
Outer Richmond	Monday	5
Outer Mission	Monday	2
Oceanview/Merced/Ingleside	Monday	3
North Beach	Monday	4
Noe Valley	Monday	4
Nob Hill	Monday	5
Mission Bay	Monday	3
Mission	Monday	20
Marina	Monday	4
Lone Mountain/USF	Monday	2
Lakeshore	Monday	3
Japantown	Monday	1
Inner Sunset	Monday	3
Inner Richmond	Monday	3
Hayes Valley	Monday	8
Haight Ashbury	Monday	1
Golden Gate Park	Monday	1
Glen Park	Monday	6
Financial District/South Beach	Monday	3
Excelsior	Monday	1
Chinatown	Monday	4
Castro/Upper Market	Monday	5
Bernal Heights	Monday	1
Bayview Hunters Point	Monday	14
Western Addition	Sunday	12
West of Twin Peaks	Sunday	7
Visitacion Valley	Sunday	4
Twin Peaks	Sunday	1
Tenderloin	Sunday	5
Sunset/Parkside	Sunday	11
South of Market	Sunday	7
Russian Hill	Sunday	3
Potrero Hill	Sunday	12
Portola	Sunday	2
Pacific Heights	Sunday	5
Outer Richmond	Sunday	7
Outer Mission	Sunday	4
Oceanview/Merced/Ingleside	Sunday	4
North Beach	Sunday	1
Noe Valley	Sunday	5
Nob Hill	Sunday	7
Mission Bay	Sunday	2
Mission	Sunday	13
Marina	Sunday	5
Lone Mountain/USF	Sunday	8
Lakeshore	Sunday	1
Japantown	Sunday	2
Inner Sunset	Sunday	2
Inner Richmond	Sunday	4
Hayes Valley	Sunday	7
Haight Ashbury	Sunday	3
Golden Gate Park	Sunday	1
Glen Park	Sunday	2
Financial District/South Beach	Sunday	6
Excelsior	Sunday	7
Chinatown	Sunday	2
Castro/Upper Market	Sunday	5
Bernal Heights	Sunday	3
Bayview Hunters Point	Sunday	13
